"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_QUICK_PLAY","","Quick Play","Partie rapide","Partida rápida","Schnelles Spiel","Partita Veloce","Partida Rápida","","Быстрая игра","","","","","Snabb spel","","","","クイックプレイ","快速匹配","快速進房","빠른 플레이","","Gyors játék","","","","שרת רנדומלי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_SERVER_BROWSER","","Server Browser","Navigateur de serveur","Navegador del servidor","Server-Browser","Lista Server","Navegador por Servidores","","Браузер серверов","","","","","Server Sökare","Server Browser","","","サーバーブラウザ","服务器浏览器","房間列表","서버 브라우저","","Szerverböngésző","","","","דפדפן השרתים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_SECRET_CODE","","Secret Code","Code secret","Código secreto","Geheimcode","Codice Segreto","Código Secreto","","Секретный код","","","","","Hemlig Kod","Geheime Code","","","シークレットコード","密码","房間代碼","비밀 코드","","Titkos kód","","","","קוד סודי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_AUDIO_LATENCY","","Audio Latency","Délai audio","Latencia de audio","Audiolatenz","Latenza Audio","Latência de Áudio","","Настройка задержки звука","","","","","Ljud Fördröjning","Audio Vertraging","","","オーディオレイテンシ","音频延迟","音訊延遲","오디오 지연","","Hangkésleltetés","","","","עיכוב הקול","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHOOSE_COLOR","","Choose Color","Choisir une couleur","Seleccionar color","Farbe auswählen","Scegli colore","Escolher Cor","","Выбрать цвет","","","","","Välj Färg","Kleur Kiezen","","","色を選択","选择颜色","選擇顏色","색상 선택","","Szín kiválasztása","","","","בחר צבע","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOBBY_AUTO_SETUP","","Audio Setup","Configuration audio","Configuración de audio","Audio-Einrichtung","Configurazione Audio","Configuração de Áudio","","Настройка звука","","","","","Konfigurering av ljud","Audio instellen","","","オーディオ設定","音频设置","音訊設定","오디오 설정","","Hangbeállítás","","","","סידור הקול","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOBBY_SELECT_BASED_ON_SUGGESTION","","Select Based on Suggestion","Sélection en fonction des suggestions","Seleccionar con base en Sugerencias","Auswahl auf Vorschlag basierend","Seleziona in base al suggerimento","Selecione Baseado em Sugestão","","Выбрать на основе предложения","","","","","Välj Baserat på Förslag","Selecteer op basis van suggesties","","","提案に基づいて選択","根据推荐选择","根據推薦選擇","추천에 기반해 선택","","Kiválasztás javaslatok alapján","","","","בחר בסיס לפי המלצות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOBBY_FORCE_AUTO_START","","Force Auto Start","Forcer le démarrage automatique","Forzar inicio automático","Autom. Start erzwingen","Forza Avvio Automatico","Forçar Início Automático","","Принудительный автозапуск","","","","","Tvinga Automatisk Start","Automatische start forceren","","","強制オートスタート","强制自动开始","強制自動開始","자동 시작 강제 수행","","Auto. indítás kényszerítése","","","","הכריחו התחלה של השלב","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOBBY_RANDOM_SONG_IF_NONE_SUGGESTED","","Random Song If None Suggested","Morceau aléatoire en l'absence de suggestion","Canción aleatoria si no hay ninguna sugerida","Zufälliger Song, wenn nichts vorgeschlagen ist","Brano Casuale Se Nessuno Suggerito","Música Aleatória se nenhuma for sugerida","","Случайная песня если не предложено","","","","","Slumpmässig Låt Om Ingen Föreslås","Willekeurige nummer als niets wordt voorgesteld","","","提案なしの場合はランダム曲","没有推荐歌曲时随机选曲","沒有推薦關卡時隨機選曲","아무것도 선택되지 않을 시 무작위 곡","","Véletlenszerű dal, ha nincs javaslat","","","","שיר רנדומלי אם אף שיר לא הומלץ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOBBY_AUTO_START_ALL_READY","","Auto Start When All Ready","Démarrage automatique quand tout le monde est prêt","Inicio automático cuando todo esté listo","Autom. Start, wenn alle bereit sind","Avvio Automatico Quando Tutti Sono Pronti","Início Automático Quando Todos Estiverem Prontos","","Автозапуск когда все готовы","","","","","Starta automatiskt när alla är redo","Automatisch starten wanneer iedereen klaar is","","","準備完了でオートスタート","全员准备后自动开始","準備就緒後自動開始","모두 준비되면 자동 시작","","Auto. indítás, ha mindenki kész","","","","התחל אוטומטי שכולם מוכנים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYERS","","Players","Joueurs","Jugadores","Spieler","Giocatori","Jogadores","","Игроки","","","","","Spelare","Spelers","","","プレイヤー","玩家","玩家","플레이어","","Játékosok","","","","שחקנים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CHOOSE_COLORS","","Choose Colors","Choisir des couleurs","Seleccionar colores","Farben auswählen","Scegli i colori","Escolher Cores","","Выбрать цвета","","","","","Välj färger","Kleuren kiezen","","","色を選択","选择颜色","選擇顏色","색상 선택","","Színek kiválasztása","","","","בחרו צבעים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_NEXT_LEVEL","","Next Level","Niveau suivant","Siguiente nivel","Nächstes Level","Prossimo Livello","Próximo Nível","","След. уровень","","","","","Nästa Bana","Volgend level","","","次のステージ","下一关","下一關","다음 레벨","","Következő pálya","","","","שלב הבא","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_RELEASE_NOTES","","Release Notes","Notes de mise à jour","Liberar notas","Versionshinweise","Note di rilascio","Notas de Versão","","Выпустить ноты","","","","","Ändringslogg","Release Notes","","","リリースノート","更新信息","更新紀錄","릴리스 노트","","Frissítési jegyzék","","","","שחרור הקוביות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_UNEXPECTED_ERROR_OCCURED","","An unexpected error occurred","Une erreur inattendue est survenue","Ha ocurrido un error inesperado","Ein unerwarteter Fehler ist aufgetreten","Si è verificato un errore imprevisto","Um erro inesperado ocorreu","","Произошла непредвиденная ошибка","","","","","Ett okänt fel uppstod","Er is een onverwachte fout opgetreden","","","予期しないエラーが発生しました","发生了预料外的错误","發生意外的錯誤","예상하지 못한 오류가 발생했습니다","","Váratlan hiba történt","","","","מה לעזאזל קרה עכשיו","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_SPECTATING_SPOT","","Spectating Spot","Place de spectateur","Punto de observación","Zuschauerplatz","Posizione da Spettatore","Ponto de Espectador","","Место для зрителя","","","","","Åskådar Plats","Toeschouwers Spot","","","観戦場所","旁观视角","旁觀視角","관전 지점","","Nézőpont","","","","מקום צפייה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_GRANDSTAND","","Grandstand","Tribune","Tribuna","Tribüne","Tribuna","Bancada","","Трибуна","","","","","Grandställ","","","","グランドスタンド","观众席","觀眾席","관람석","","Tribün","","","","היציע","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_QUICK_PLAY_COUNTDOWN","","Quick Play Countdown","Compte à rebours de partie rapide","Cuenta regresiva de partida rápida","Countdown zum Schnellen Spiel","Conto alla Rovescia Gioco Rapido","Contagem Regressiva do Jogo Rápido","","Обратный отсчёт","","","","","Snabb Spel Nedräkningen","","","","クイックプレイカウントダウン","快速匹配倒计时","快速進房倒數","빠른 플레이 카운트다운","","Visszaszámlálás gyors játékig","","","","ספירה לאחור בשרת רנדומלי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CHECKING_SERVER_STATUS","","Checking Server Status","Vérification de l'état du serveur","Revisando el estado del servidor","Serverstatus wird überprüft","Controllo Stato Server","Verificando Estado do Servidor","","Проверка состояния сервера","","","","","Kontrollerar Server Status","Serverstatus controleren","","","サーバー状態の確認","正在检查服务器状态","正在確認伺服器狀態","서버 상태 확인 중","","A szerver állapotának ellenőrzése","","","","בודק אם השרתים לא מתו","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_ADDITIONAL_VFX","","Additional VFX","Effets visuels supplémentaires","VFX adicionales","Zusätzliche visuelle Effekte","Effetti Aggiuntivi","VFX Adicional","","Дополнительные VFX","","","","","Ytterligare VFX","","","","追加VFX","额外特效","額外特效","추가 VFX","","További VFX","","","","VFX נוספים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_DEVELOPMENT_PROJECT_MANAGER","","Development Project Manager","Chef de projet Développement","Gerente del Proyecto de Desarrollo","Projektmanagement Entwicklung","Development Project Manager","Gerente de Projeto de Desenvolvimento","","Менеджер проекта разработки","","","","","Utvecklings Projekt Ledare","","","","開発プロジェクトマネージャー","开发项目管理器","開發專案管理","개발 프로젝트 매니저","","Fejlesztési projektmenedzser","","","","מנהל פיתוח הפרויקט","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_OCULUS_STUDIOS","","Facebook Reality Labs","Facebook Reality Labs","Facebook Reality Labs","Facebook Reality Labs","Facebook Reality Labs","Facebook Reality Labs","","Лаборатория Реальности Facebook","","","","","Facebook Reality Labs","Facebook Reality Labs","","","Facebook Reality Labs","脸书现实实验室","臉書實境實驗室","Facebook Reality Labs","","Facebook Reality Labs","","","","Facebook Reality Labs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_OPERATIONS_LEAD","","Operations Lead","Directeur des opérations","Jefe de Operaciones","Leitung operatives Geschäft","Operations Lead","Líder de Operações","","Ведущий оператор","","","","","Verksamheten Lead","Operatie Hoofd","","","オペレーションリーダー","运营主管","營運主管","오퍼레이션 리드","","Műveleti vezető","","","","מוביל התפעול","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_PRODUCER","","Producer","Producteur","Productor","Produktion","Produttore","Produtor","","Продюсер","","","","","Producent","Producer","","","プロデューサー","制作者","制作者","프로듀서","","Producer","","","","מפיק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_HEAD_OF_CONTENT_STRATEGY","","Head of Content Strategy","Directeur Stratégie de contenu","Jefe de Estrategia de Contenido","Leiter Content-Strategie","Head of Content Strategy","Chefe de Estratégia de Conteúdo","","Глава стратегии контента","","","","","Chef för Innehållsstrategi","Hoofd van inhoudsstrategie","","","コンテンツ戦略担当","内容策略主管","內容策略主管","콘텐츠 전략 담당","","Tartalmi stratégia vezetője","","","","ראש תכנון התוכן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CANT_START_GAME_ALL_PLAYERS_SPECTATING","","All players are spectating","Tous les joueurs sont spectateurs","Todos los jugadores están observando","Alle Spieler schauen zu","Tutti i giocatori stanno osservando","Todos os jogadores estão assistindo","","Все игроки наблюдают","","","","","Alla spelar åskådar","Alle spelers zijn gaan toekijken","","","全てのプレイヤーが観戦しています","所有玩家都在观看","所有玩家都在旁觀","모든 플레이어가 관전 중입니다","","Minden játékos néző","","","","כל המשתתפים במצב רוח","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CANT_START_GAME_NO_SONG_SELECTED","","No song selected","Aucun morceau sélectionné","No hay canción seleccionada","Kein Song ausgewählt","Nessun brano selezionato","Nenhuma música selecionada","","Песня не выбрана","","","","","Ingen Låt Vald","Geen nummer geselecteerd","","","曲が選択されていません","当前没有已选择的歌曲","當前沒有已選擇的歌曲","선택한 곡 없음","","Nincs dal kiválasztva","","","","לא נבחר שיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CANT_START_GAME_ALL_PLAYERS_NOT_IN_LOBBY","","Not all players are back in lobby","Il manque des joueurs dans le salon","No todos los jugadores han regresado al lobby","Alle Spieler schauen zu","Non tutti i giocatori sono tornati nella lobby","Nem todos os jogadores voltaram à sala","","Не все игроки вернулись в лобби","","","","","Alla spelare är inte tillbaka i lobbyn","Niet alle spelers zijn terug in de lobby","","","全てのプレイヤーがロビーに戻っていません","有玩家还在游戏中","還有玩家正在遊戲中","로비에 돌아오지 않은 플레이어가 있습니다","","Még nem érkezett vissza minden játékos a lobbiba","","","","לא כל המשתתפים חזרו ללובי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_CANT_START_GAME_DO_NOT_OWN_SONG","","Do not own the song","Morceau non possédé","No posees la canción","Song nicht in Besitz","Non possiedi il brano","Não possui esta música","","Не владейте песней","","","","","Äger inte låten","Je hebt dit nummer niet in je bezit","","","この曲を所有しないでください","未拥有此歌曲","未擁有此歌曲","곡을 보유하고 있지 않습니다","","Nem rendelkezik ezzel a dallal","","","","לא קניתם שיר זה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_DO_NOT_OWN_SONG","","You do not own this song","Vous ne possédez pas ce morceau","No posees esta canción","Der Song ist nicht in deinem Besitz","Tu non possiedi questo brano","Você não possui esta música","","У вас нет этой песни","","","","","Du äger inte denna låt","Je hebt dit nummer niet in je bezit","","","この曲を所有していません","你没拥有该曲目","你沒有此歌曲","이 곡은 보유하고 있지 않습니다","","Nem rendelkezel ezzel a dallal","","","","לא קניתם את השיר הזה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PREVIOUS","","Previous","Précédent","Anterior","Zurück","Precedente","Voltar","","Предыдущий","","","","","Föregående","Vorige","","","前","预览","上一個","이전","","Előző","","","","קודם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CREATE_AVATAR","","Create Avatar","Créer un avatar","Crear Avatar","Avatar erstellen","Crea Avatar","Criar Avatar","","Создать персонажа","","","","","Skapa Avatar","Maak avatar","","","アバターを作成","创建人物","創建人物","아바타 생성","","Avatár létrehozása","","","","יצירת דמות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_SEARCH","","Search","Rechercher","Buscar","Suche","Cerca","Pesquisar","","Поиск","","","","","Sök","Zoek","","","検索","搜索","搜尋","검색","","Keresés","","","","חיפוש","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_WAITING_FOR_SONG_DOWNLOAD","","Downloading song","Téléchargement d'un morceau","Descargando canción","Song-Download läuft","Scaricamento brano","Baixando música","","Загрузка песни","","","","","Laddar ned låt","Nummer wordt gedownload","","","曲をダウンロードしています","正在下载歌曲","正在下載歌曲","곡 다운로드 중","","Dal letöltése","","","","מוריד את השיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_END_GAME","","End Game","Terminer la partie","Terminar partida","Spiel beenden","Termina partita","Terminar Partida","","Завершить игру","","","","","Avsluta spel","Stop spel","","","ゲームを終了","结束游戏","結束遊戲","게임 종료","","Játék befejezése","","","","סיים משחק","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYER_OPTIONS_SP_ONLY","","Singleplayer Options Only","Options solo uniquement","Opciones exclusivas para un jugador","Nur Einzelspieler-Optionen","Opzioni Solo Giocatore Singolo","Opções Apenas para Um Jogador","","Настройки только для одиночной игры","","","","","Enspelaralternativ Endast","Enkel beschikbaar in singleplayer","","","シングルプレイヤーオプションのみ","仅单人模式选项","僅限於單人模式選項","싱글플레이어 옵션만","","Csak egyjátékos beállítások","","","","הגדרות של חד משתתפים בלבד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYER_SETTINGS_NJBSO","","Note Jump Offset","Décalage d'écart entre les notes","Nota de Salto para Compensar","Noten-Sprung-Offset","Offset Salto nota","Compensar Pulo de Nota","","Расстояние до точки прыжка нот","","","","","Block Hopp Fördröjning","Note Jump Offset","","","音符ジャンプオフセット","方块出生距离偏移值","音符生成距離位移","음표 점프 오프셋","","Hangjegy ugrásának eltolása","","","","מרחק הזימון של הקוביות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_LANGUAGE","","Language","Langue","Idioma","Sprache","Lingua","Idioma","","Язык","","","","","Språk","Taal","","","言語","语言","語言 (Language)","언어","","Nyelv","","","","שפה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PLAYER_OPTIONS","","Player Options","Options de joueur","Opciones de jugador","Spieleroptionen","Opzioni giocatore","Opções de Jogador","","Игрок","","","","","Spelarinställningar","Spelers opties","","","プレイヤーオプション","玩家选项","玩家選項","플레이어 옵션","","Játékosbeállítások","","","","הגדרות השחקן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_YES","","Yes","Oui","Sí","Ja","Sì","Sim","","Да","","","","","Ja","Ja","","","はい","是","是","네","","Igen","","","","כן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_NO","","No","Non","No","Nein","No","Não","","Нет","","","","","Nej","Nee","","","いいえ","否","否","아니요","","Nem","","","","לא","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLACEHOLDER_ENTER_NAME","","Enter Name","Saisir un nom","Ingresar nombre","Namen eingeben","Inserisci Nome","Digite o Nome","","Введите имя","","","","","Ange namn","Vul naam in","","","名前を入力","输入名称","輸入名稱","이름을 입력하세요","","Név megadása","","","","הכנס שם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLACEHOLDER_SERVER_PASSWORD","","Server Password","Mot de passe de serveur","Contraseña del servidor","Server-Passwort","Password Server","Senha do Servidor","","Пароль сервера","","","","","Server Lösenord","Server wachtwoord","","","サーバーパスワード","房间密码","房間代碼","서버 비밀번호","","Szerverjelszó","","","","סיסמת השרת","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_UNKNOWN","","Disconnected<br>Check your internet connection and try again","Déconnexion<br>Vérifiez votre connexion Internet et réessayez.","Desconectado<br>Revisa tu conexión de internet e inténtalo de nuevo","Verbindung getrennt<br>Prüfe deine Internetverbindung und versuche es erneut","Disconnesso<br>Verifica la tua connessione internet e riprova","Desconectado<br>Verifique sua conexão com a internet e tente novamente","","Отключен<br>Проверьте ваше соединение с интернетом и попробуйте еще раз","","","","","Frånkopplad<br>Kontrollera din internetanslutning och försök igen","Verbinding verbroken<br>Controleer je internetverbinding en probeer later opnieuw","","","切断されました<br>インターネットへの接続を確認して再実行してください","失去连接<br>检查您的网络连接，然后再试。","失去連線<br>請檢查您的網絡連線，然後再試一次。","연결 끊김<br>인터넷 연결을 확인하고 다시 시도하세요","","Lecsatlakoztatva<br>Ellenőrizd az internetkapcsolatot, majd próbáld újra","","","","התנתק<br>תבדקו את האינטרנט שלכם ותנסו שוב","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_USER_INITIATED","","Disconnected<br>User initiated","Déconnexion<br>Initiée par l'utilisateur.","Desconectado<br>Usuario iniciado","Verbindung getrennt<br>Vom Benutzer ausgelöst","Disconnesso<br>L'Utente ha avviato","Desconectado<br>Usuário iniciado","","Отключено<br>Пользователь инициирован","","","","","Frånkopplad<br>användare initierad","Verbinding verbroken<br>","","","切断されました<br>ユーザー操作","失去连接<br>用户已初始化。","失去連線<br>用戶已初始化。","연결 끊김<br>시작한 사용자입니다","","Lecsatlakoztatva<br>Felhasználó által","","","","התנתק<br>המשתמש התחיל את השיר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_TIMEOUT","","Disconnected<br>Connection to server timed out","Déconnexion<br>La connexion au serveur a expiré.","Desconectado<br>La conexión al servidor expiró","Verbindung getrennt<br>Zeitüberschreitung bei Verbindung zum Server","Disconnesso<br>Il Server non ha risposto","Desconectado<br>O servidor expirou","","Отключен<br>Время сервера истекло","","","","","Frånkopplad<br>Anslutning till servern avbröts","Verbinding verbroken<br>Server timed out","","","切断されました<br>サーバーへの接続がタイムアウト","失去连接<br>服务器超时退出。","失去連線<br>連線逾時。","연결 끊김<br>서버 연결 시간이 만료됐습니다","","Lecsatlakoztatva<br>A szerver túllépte az időkorlátot","","","","התנתק<br>התחברות לשרת נמשך יותר מידי זמן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_KICKED","","Disconnected<br>You have been kicked","Déconnexion<br>Vous avez été expulsé(e).","Desconectado<br>Has sido expulsado","Verbindung getrennt<br>Du wurdest rausgeworfen","Disconnesso<br>Sei stato espulso","Desconectado<br>Você foi expulso","","Отключен<br> Вас выгнали","","","","","Frånkopplad<br>Du har blivit sparkad","Verbinding verbroken<br>Je bent uit de lobby verwijderd.","","","切断されました<br>キックされました","失去连接<br>您已被踢出。","失去連線<br>您已被踢出。","연결 끊김<br>추방되었습니다","","Lecsatlakoztatva<br>Kirúgtak","","","","התנתק<br>העיפו אתכם מהסרבר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_SERVER_AT_CAPACITY","","Disconnected<br>Server is at capacity","Déconnexion<br>Serveur plein.","Desconectado<br>El servidor está a su máxima capacidad","Verbindung getrennt<br>Server-Kapazität erreicht","Disconnesso<br>Il server è a capacità","Desconectado<br>Sevidor atingiu a capacidade máxima","","Отключен<br>Сервер перегружен","","","","","Frånkopplad<br>Servern är på kapacitet","Verbinding verbroken<br>De server is vol","","","切断されました<br>サーバー限度","失去连接<br>服务器已达负荷。","失去連線<br>房間已滿。","연결 끊김<br>서버 수용량이 최대입니다","","Lecsatlakoztatva<br>A szerver betelt","","","","התנתק<br>השרת מלא","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_SERVER_SHUT_DOWN","","Disconnected<br>Server was shut down","Déconnexion<br>Serveur fermé.","Desconectado<br>El servidor fue apagado","Verbindung getrennt<br>Server wurde ausgeschaltet","Disconnesso<br>Il server è stato spento","Desconectado<br>O servidor foi desligado","","Отключен<br>Сервер был выключен","","","","","Frånkopplad<br>Server stängdes av","Verbinding verbroken<br>De server was afgesloten","","","切断されました<br>サーバー停止","失去连接<br>服务器已关闭。","失去連線<br>房間已關閉。","연결 끊김<br>서버가 정지됐습니다","","Lecsatlakoztatva<br>A szerver leállt","","","","התנתק<br>השרת נסגר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISCONNECTED_MASTER_SERVER_UNREACHABLE","","Disconnected<br>Check your internet connection and try again.","Déconnexion<br>Vérifiez votre connexion Internet et réessayez.","Desconectado<br>Revisa tu conexión de internet e inténtalo de nuevo.","Verbindung getrennt<br>Prüfe deine Internetverbindung und versuche es erneut.","Disconnesso<br>Verifica la tua connessione internet e riprova.","Desconectado<br>Verifique sua conexão com a internet e tente novamente.","","Отключен<br>Проверьте ваше соединение с интернетом и попробуйте еще раз.","","","","","Frånkopplad<br>Kontrollera din internetanslutning och försök igen.","Verbinding verbroken<br>Controleer je internetverbinding en probeer later opnieuw.","","","切断されました<br>インターネットへの接続を確認して再実行してください。","断线<br>检查您的互联网连接并重新尝试。","失去連線<br>請檢查您的網絡連線，然後再試一次。","연결 끊김<br>인터넷 연결을 확인하고 다시 시도하세요.","","Lecsatlakoztatva<br>Ellenőrizd az internetkapcsolatot, majd próbáld újra.","","","","התנתק<br>תבדקו את האינטרנט שלכם ותנסו שוב.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MULTIPLAYER_UNAVAILABLE_SERVER_OFFLINE","","Multiplayer Unavailable<br>Server is offline","Multijoueur indisponible<br>Serveur déconnecté.","Multijugador no Disponible<br>El servidor está desconectado","Multiplayer nicht verfügbar <br> Server ist offline","Multigiocatore non disponibile<br>Il server è offline","Multijogador Indisponível<br>Servidor está indisponível","","Мультиплеер Недоступен<br>Сервер оффлайн","","","","","Fler Spelare Otillgänglig<br>Server är offline","Multiplayer onbeschikbaar<br>Server is offline","","","マルチプレーヤーを利用できません<br>サーバーがオフラインです","多人游戏不可用<br>服务器离线","無法進入多人遊戲<br>伺服器離線","멀티플레이어 이용 불가<br>서버가 오프라인입니다","","A többjátékos mód nem elérhető<br>A szerver offline","","","","רב משתתפים אינו נגיש<br>השרתים כבויים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MULTIPLAYER_UNAVAILABLE_UPDATE_REQUIRED","","Multiplayer Unavailable<br>Beat Saber update is required","Multijoueur indisponible<br>Beat Saber doit être mis à jour.","Multijugador no Disponible<br>Se necesita una actualización de Beat Saber","Multiplayer nicht verfügbar <br> Beat Saber Update ist erforderlich","Multiplayer non disponibile<br>Aggiornamento di Beat Saber necessario","Multijogador Indisponível<br>É necessária atualizar o Beat Saber","","Мультиплеер недоступен<br>Требуется обновление игры","","","","","Fler Spelare Otillgänglig<br>Beat Saber uppdatering krävs","Multiplayer onbeschikbaar<br>Beat Saber update is vereist","","","マルチプレーヤーを利用できません<br>Beat Saberのアップデートが必要です","多人游戏不可用<br>需要更新Beat Saber。","無法進入多人遊戲<br>需要更新Beat Saber。","멀티플레이어 이용 불가<br>Beat Saber 업데이트가 필요합니다","","A többjátékos mód nem elérhető<br>Beat Saber-frissítés szükséges","","","","רב משתתפים אינו נגיש<br>עליך לעדכן את ביט סייבר","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MULTIPLAYER_UNAVAILABLE_MAINTENANCE_MODE","","Multiplayer Unavailable<br>Maintenance ends at {0}","Multijoueur indisponible<br>Fin de la maintenance à {0}.","Multijugador no Disponible<br>El período de mantenimiento termina en {0}","Multiplayer nicht verfügbar <br> Die Wartung endet bei {0}","Multigiocatore non disponibile<br>La manutenzione termina alle {0}","Multijogador Indisponível<br>Manutenção termina em {0}","","Мультиплеер Недоступен<br>Обслуживание заканчивается в {0}","","","","","Fler Spelare Otillgänglig<br>Maintenance slutar om {0}","Multiplayer onbeschikbaar<br>Onderhoud eindigt op {0","","","マルチプレーヤーを利用できません<br>メンテナンスの終了：{0}","多人游戏不可用<br>维护结束于{0}。","無法進入多人遊戲<br>維護結束於{0}。","멀티플레이어 이용 불가<br>이용 점검 종료: {0}","","A többjátékos mód nem elérhető<br>A karbantartás ekkor ér véget: {0}","","","","רב משתתפים אינו נגיש<br>שיפוצים יסתיימו ב{0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MULTIPLAYER_UNAVAILABLE_TRY_AGAIN","","Multiplayer Unavailable<br>Check your internet connection and try again","Multijoueur indisponible<br>Vérifiez votre connexion Internet et réessayez.","Multijugador no Disponible<br>Revisa tu conexión de internet e inténtalo de nuevo","Mehrspieler nicht verfügbar<br>Prüfe deine Internetverbindung und versuche es erneut","","","","","","","","","","","","","マルチプレーヤーを利用できません<br>インターネットへの接続を確認して再実行してください","","","멀티플레이어 이용 불가<br>인터넷 연결을 확인하고 다시 시도하세요","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO_NAME_PLAYER","","No Name","Aucun nom","Sin nombre","Kein Name","Nessun nome","Sem Nome","","Без имени","","","","","Inget Namn","Geen naam","","","名前なし","匿名","匿名","이름 없음","","Névtelen","","","","חסר שם","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_UNREADY","","Unready","Pas prêt","No preparado","Nicht bereit","Non Pronto","Não Pronto","","Не готово","","","","","Oredo","Niet meer klaar","","","準備未完了","取消准备","取消準備","준비 취소","","Mégse","","","","לא מוכן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUGGEST_BEATMAP_AND_MODIFIERS","","Suggest Beatmap And Modifiers","Proposer une Beatmap et des modificateurs","Sugerir Beatmap y modificadores","Beatmap und Modifikatoren vorschlagen","Suggerisci Beatmap E Modificatori","Sugerir Beatmap e Modificadores","","Предложить карту и модификаторы","","","","","Föreslå Beatmap och Modifierare","Suggereer Beatmap en Modifiers","","","ビートマップとルール変更を提案","推荐歌曲和修改项","推薦歌曲和修改器","추천 비트맵 및 모디파이어","","Ütemtábla és módosítók javaslása","","","","המלץ מפת שיר ושינויים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
